5236.890709365744,6316.945521201844
5245.189967304543,6342.320870454646
5247.686702728536,6329.533736267538
5229.482644008222,6329.057018225597
5237.419194843655,6326.003742651332
5229.525870302221,6333.377627343811
5225.951403049848,6321.569866220503
5231.796120608961,6335.665673778008
5211.973511561285,6315.642771334299
5211.614107259037,6331.2569864322795
5231.84193430248,6330.640652285249
5243.095842325488,6365.981477795066
5233.311607588668,6361.403298492003
5229.541594585943,6345.056073541242
5227.03624481976,6320.656450110364
5224.300155460353,6324.19070479019
5237.227195574671,6342.442601066207
5227.135976268322,6349.995707885408
5220.984479470847,6352.3614439317
5238.58613862203,6342.056309662561
5215.680487987907,6331.591066741557
5206.019036548762,6313.605771221882
5222.352735074856,6336.947766107317
5240.475978686285,6332.7667536362615
5241.725285889096,6338.2112596026545
5217.500839476591,6342.176185611936
5228.235613347219,6354.524466944058
5227.592448347182,6322.125700189503
5241.706238804315,6335.8691584169055
5217.6337324530805,6326.1295827718695
5209.55907189723,6345.325862434391
5240.373774589882,6327.110889437737
5224.831091837038,6330.164106357637
5237.818139584923,6344.658443440127
5221.523332092621,6328.753783850455
5215.396473688403,6338.024856301642
5231.373117973976,6320.461204115501
5227.902223066752,6368.5965587604705
5236.288309022385,6357.324667186428
5209.220811375887,6359.427122790211
5233.456610504003,6317.731545641923
5232.9938913853675,6312.859400310618
5221.891577453378,6339.062750605899
5191.117573594459,6331.590015602778
5219.570067266417,6371.634360915092
5229.849407816925,6336.675323833065
5223.934804930352,6334.791042826298
5225.779998216158,6350.215739998131
5199.25186427006,6347.378766075355
5206.398316200423,6353.74229725029
5225.077957760026,6338.624370517176
5224.155488178127,6339.801969855668
5219.010414070426,6337.562570392817
5238.372402747481,6349.313899764664
5234.292585648915,6339.942620282799
5212.1539028706475,6325.092590228249
5215.107399590363,6344.499167662303
5193.671376264779,6349.932617406955
5223.821758850859,6353.8060977864425
5218.04920540383,6372.651836632309
5205.150622981348,6352.54309346683
5209.853599161448,6339.55599251454
5209.73257497473,6325.895298585808
5205.534740244219,6328.746714910998
5210.014045233611,6366.162022614067
5223.260399009881,6322.932317023371
6206.153502903574,5720.92578320873
5240.320312685428,6323.118317357388
5251.456731041938,6347.249465590333
