838853,110.5,-24.875,-171.9375,-4.08,1.45,-8.7,0
838877,110.5,-24.9375,-171.875,-4,1.3,-8.68,0
838882,110.5,-24.9375,-171.875,-4,1.3,-8.68,0
838936,110.5,-25.0625,-171.75,-4.06,1.34,-8.64,0
838958,110.5625,-25.1875,-171.6875,-4.04,1.38,-8.69,0
838963,110.5625,-25.1875,-171.6875,-4.04,1.38,-8.69,0
839016,110.5,-25.3125,-171.5625,-4.01,1.34,-8.65,0
839040,110.5625,-25.3125,-171.5625,-4.02,1.36,-8.82,0
839044,110.5625,-25.3125,-171.5625,-4.02,1.36,-8.82,0
839098,110.5,-25.3125,-171.5625,-4.14,1.25,-8.65,0
839120,110.375,-25.375,-171.6875,-4.08,1.29,-8.73,0
839124,110.375,-25.375,-171.6875,-4.08,1.29,-8.73,0
839174,110.25,-25.375,-171.8125,-4.18,1.38,-8.6,0
839198,110.25,-25.375,-171.875,-4.18,1.2,-8.58,0
839203,110.25,-25.375,-171.9375,-4.07,1.38,-8.64,0
839256,110.25,-25.4375,-172,-4.18,1.33,-8.64,0
839280,110.25,-25.4375,-172.0625,-4.17,1.45,-8.78,0
839284,110.25,-25.4375,-172.0625,-4.17,1.45,-8.78,0
839334,110.125,-25.5,-172.1875,-4.09,1.31,-8.64,0
839356,110.0625,-25.5,-172.1875,-4.05,1.26,-8.7,0
839362,110.0625,-25.5,-172.25,-4.09,1.23,-8.74,0
839416,110,-25.5,-172.375,-4.11,1.27,-8.55,0
839440,109.9375,-25.5,-172.375,-4.05,1.25,-8.67,0
839444,109.9375,-25.5,-172.375,-4.11,1.18,-8.78,0
839497,109.8125,-25.5,-172.5,-4.17,1.31,-8.56,0
839519,109.75,-25.5,-172.5625,-4.11,1.24,-8.65,0
839524,109.75,-25.5625,-172.5625,-4.11,1.24,-8.65,0
839579,109.6875,-25.5625,-172.625,-4.06,1.29,-8.72,0
839602,109.6875,-25.5625,-172.625,-4.08,1.2,-8.74,0
839606,109.6875,-25.5625,-172.625,-4.08,1.2,-8.74,0
839662,109.6875,-25.5625,-172.625,-4.17,1.25,-8.7,0
839684,109.6875,-25.5625,-172.625,-4.14,1.17,-8.68,0
839688,109.6875,-25.5625,-172.625,-4.14,1.17,-8.68,0
839737,109.6875,-25.625,-172.875,-4.1,1.07,-8.59,0
839759,109.75,-25.5625,-172.9375,-4.07,1.28,-8.61,0
839764,109.8125,-25.5625,-173,-4.07,1.28,-8.61,0
839818,109.9375,-25.5,-173.0625,-3.98,1.27,-8.81,0
839842,110.0625,-25.5,-173.0625,-4.09,1.24,-8.72,0
839846,110.0625,-25.5,-173.0625,-4.09,1.24,-8.72,0
839899,110.25,-25.375,-172.8125,-4.1,1.06,-8.74,0
839921,110.375,-25.3125,-172.6875,-4.1,1.2,-8.58,0
839926,110.375,-25.3125,-172.6875,-4.1,1.2,-8.58,0
840000,110.5625,-25.125,-172.5,-4.2,1.16,-8.74,0
840004,110.625,-25.125,-172.5,-4.19,1.24,-8.71,0
840074,110.8125,-25.0625,-172.375,-4.12,1.38,-8.52,0
840078,110.8125,-25.0625,-172.375,-4.12,1.38,-8.52,0
840129,111,-25.125,-172.25,-4.1,1.38,-8.61,0
840153,111,-25.125,-172.125,-4.11,1.2,-8.73,0
840157,111,-25.125,-172.125,-4.11,1.2,-8.73,0
840228,111,-25.25,-172,-3.96,1.32,-8.66,0
840234,111,-25.25,-172,-4.09,1.17,-8.62,0
840283,110.9375,-25.3125,-172.0625,-3.99,1.36,-8.72,0
840305,110.9375,-25.3125,-172.125,-4,1.4,-8.7,0
840309,110.9375,-25.3125,-172.125,-4,1.4,-8.7,0
840381,110.875,-25.25,-172.125,-4.14,1.29,-8.62,0
840386,110.875,-25.25,-172.125,-4.14,1.29,-8.62,0
